row id,order id,Order Date,ship date,ship mode,customer id,customer name,segment,postal code,city,state,country,region_x,market,product id,product name,sub-category,category,Sales,quantity,discount,profit,shipping cost,order priority,returned,region_y,person,region
33312,CA-2016-AM10705140-42632,2016-09-19,2016-09-24,Standard Class,AM-107051408,Anne McFarland,Consumer,36830,Auburn,Alabama,United States,Southern US,USCA,OFF-ST-6289,Tennsco Double-Tier Lockers,Storage,Office Supplies,900.08,4,0.0,117.0104,53.84,Medium,No,,Flannery Newton,Southern US
33310,CA-2016-AM10705140-42632,2016-09-19,2016-09-24,Standard Class,AM-107051408,Anne McFarland,Consumer,36830,Auburn,Alabama,United States,Southern US,USCA,FUR-CH-5431,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs,Furniture,350.98,1,0.0,84.2352,17.04,Medium,No,,Flannery Newton,Southern US
33311,CA-2016-AM10705140-42632,2016-09-19,2016-09-24,Standard Class,AM-107051408,Anne McFarland,Consumer,36830,Auburn,Alabama,United States,Southern US,USCA,OFF-PA-6086,Southworth Parchment Paper & Envelopes,Paper,Office Supplies,13.08,2,0.0,6.0168,1.22,Medium,No,,Flannery Newton,Southern US
34744,CA-2017-KN16705140-42898,2017-06-12,2017-06-16,Standard Class,KN-167051408,Kristina Nunn,Home Office,36830,Auburn,Alabama,United States,Southern US,USCA,OFF-AR-5458,"OIC #2 Pencils, Medium Soft",Art,Office Supplies,3.76,2,0.0,1.0904,1.45,High,No,,Flannery Newton,Southern US
38219,CA-2015-MS17710140-42079,2015-03-16,2015-03-19,Second Class,MS-177101408,Maurice Satty,Consumer,36830,Auburn,Alabama,United States,Southern US,USCA,OFF-LA-3980,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Labels,Office Supplies,491.55,5,0.0,240.8595,77.93,High,No,,Flannery Newton,Southern US
38220,CA-2015-MS17710140-42079,2015-03-16,2015-03-19,Second Class,MS-177101408,Maurice Satty,Consumer,36830,Auburn,Alabama,United States,Southern US,USCA,OFF-EN-3834,Colored Envelopes,Envelopes,Office Supplies,7.38,2,0.0,3.3948,1.09,High,No,,Flannery Newton,Southern US
40966,CA-2017-AH10465140-42828,2017-04-03,2017-04-07,Standard Class,AH-104651408,Amy Hunt,Consumer,35601,Decatur,Alabama,United States,Southern US,USCA,OFF-LA-3219,Avery 499,Labels,Office Supplies,14.94,3,0.0,6.8724,1.54,High,No,,Flannery Newton,Southern US
39850,US-2017-CB12025140-43053,2017-11-14,2017-11-21,Standard Class,CB-120251408,Cassandra Brandow,Consumer,35601,Decatur,Alabama,United States,Southern US,USCA,TEC-AC-3125,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,Accessories,Technology,239.92,8,0.0,23.992,31.69,Low,No,,Flannery Newton,Southern US
35001,CA-2015-DH13075140-42168,2015-06-13,2015-06-19,Standard Class,DH-130751408,Dave Hallsten,Corporate,35601,Decatur,Alabama,United States,Southern US,USCA,TEC-CO-3590,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Copiers,Technology,899.97,3,0.0,314.9895,73.62,Medium,No,,Flannery Newton,Southern US
34999,CA-2015-DH13075140-42168,2015-06-13,2015-06-19,Standard Class,DH-130751408,Dave Hallsten,Corporate,35601,Decatur,Alabama,United States,Southern US,USCA,OFF-AR-5286,Newell 31,Art,Office Supplies,24.78,6,0.0,6.9384,1.74,Medium,No,,Flannery Newton,Southern US
35000,CA-2015-DH13075140-42168,2015-06-13,2015-06-19,Standard Class,DH-130751408,Dave Hallsten,Corporate,35601,Decatur,Alabama,United States,Southern US,USCA,OFF-BI-3280,Avery Heavy-Duty EZD View Binder with Locking Rings,Binders,Office Supplies,19.14,3,0.0,8.8044,1.66,Medium,No,,Flannery Newton,Southern US
35002,CA-2015-DH13075140-42168,2015-06-13,2015-06-19,Standard Class,DH-130751408,Dave Hallsten,Corporate,35601,Decatur,Alabama,United States,Southern US,USCA,OFF-PA-6566,Xerox 204,Paper,Office Supplies,32.4,5,0.0,15.552,1.2,Medium,No,,Flannery Newton,Southern US
34564,CA-2014-EH14185140-41780,2014-05-21,2014-05-28,Standard Class,EH-141851408,Evan Henry,Consumer,35601,Decatur,Alabama,United States,Southern US,USCA,TEC-PH-5365,Nortel Networks T7316 E Nt8 B27,Phones,Technology,135.98,2,0.0,33.995,6.0,Medium,No,,Flannery Newton,Southern US
34565,CA-2014-EH14185140-41780,2014-05-21,2014-05-28,Standard Class,EH-141851408,Evan Henry,Consumer,35601,Decatur,Alabama,United States,Southern US,USCA,TEC-PH-5606,Plantronics Encore H101 Dual Earpieces Headset,Phones,Technology,44.95,1,0.0,12.586,2.24,Medium,No,,Flannery Newton,Southern US
37223,US-2014-RA19885140-41736,2014-04-07,2014-04-11,Standard Class,RA-198851408,Ruben Ausman,Corporate,35601,Decatur,Alabama,United States,Southern US,USCA,FUR-TA-5791,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",Tables,Furniture,1215.92,8,0.0,316.1392,66.58,Medium,No,,Flannery Newton,Southern US
31376,CA-2016-SC20770140-42534,2016-06-13,2016-06-16,First Class,SC-207701408,Stewart Carmichael,Corporate,35601,Decatur,Alabama,United States,Southern US,USCA,OFF-AP-2855,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,Office Supplies,208.16,1,0.0,56.2032,46.81,Critical,No,,Flannery Newton,Southern US
31377,CA-2016-SC20770140-42534,2016-06-13,2016-06-16,First Class,SC-207701408,Stewart Carmichael,Corporate,35601,Decatur,Alabama,United States,Southern US,USCA,OFF-BI-3279,Avery Heavy-Duty EZD  Binder With Locking Rings,Binders,Office Supplies,16.74,3,0.0,8.0352,4.02,Critical,No,,Flannery Newton,Southern US
